id,name,display_name,serving_size,serving_weight_g,calories,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,fluid_ml,allergens,digestion_speed,is_active,created_at,updated_at
144a1845-3e1e-44ff-b762-1f5c5474236d,almond_butter,Almond Butter,1 tbsp,16.0,98,3.0,3.4,9.0,0.6,36.0,0.0,{tree_nuts},slow,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
c17a84cb-c5ad-42fd-be14-7c390195d5c6,applesauce,Applesauce (unsweetened),1 pouch (90g),90.0,42,11.0,0.2,0.0,1.0,3.0,77.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
294c71e9-57ea-4a31-9853-67f55c4761ce,applesauce_cup,Applesauce (1 cup),1 cup,244.0,102,28.0,0.4,0.1,2.7,5.0,214.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
6fed066a-f791-4e1d-8479-2772fcb9a3e5,bagel_large,Bagel (large),1 large,105.0,275,53.0,11.0,1.5,2.3,462.0,0.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
886f3ed9-9cc6-44b0-ae76-70668719c03f,banana,Banana,1 medium,118.0,105,27.0,1.3,0.4,3.1,1.0,88.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
7f5b5043-4e9f-4610-9f40-9d56d2fcdc1c,blueberries,Blueberries,1 cup,148.0,85,21.4,1.1,0.5,3.6,1.0,125.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
94c2e376-cb3c-48f0-8ca5-db5620be3834,cereal,Cereal (corn flakes type),1 cup,28.0,100,24.0,2.0,0.0,1.0,200.0,0.0,{gluten},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
6066a7aa-4ef5-4e14-836b-1ed11c74424c,chocolate_milk,Chocolate Milk,1 cup (8 oz),250.0,190,26.0,7.0,8.0,1.0,150.0,220.0,{dairy},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
28fdd277-aa17-426a-b7ee-0e13c22dcfaa,coffee,Coffee (black),1 cup (8 oz),237.0,2,0.0,0.3,0.0,0.0,5.0,237.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
1b9333b3-5836-4956-b10a-e95cc880d5b9,dates,Dates (Medjool),1 date,24.0,66,18.0,0.4,0.0,1.6,0.0,5.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
0d8ffdbe-a28f-48d8-8f74-1f2290a1e7a5,electrolyte_drink,Electrolyte Drink Mix,1 serving (in water),5.0,10,2.0,0.0,0.0,0.0,300.0,0.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
c04bf555-6b74-4703-9ae1-13bddb4171ed,energy_bar,Energy/Granola Bar,1 bar,40.0,170,28.0,6.0,6.0,2.0,105.0,0.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
f2ee4b24-b9b5-4316-ba9d-0405c1d1f8cc,energy_chews,Energy Chews,1 package,40.0,100,24.0,0.0,0.0,0.0,108.0,0.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
a476790c-6191-4e45-8801-df25edbc0535,energy_gel,Energy Gel,1 packet,32.0,100,25.0,0.0,0.0,0.0,55.0,20.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
4038d190-254f-472d-8a9a-7f396b9a67ea,fig_bar,Fig Bar (twin-pack),1 twin-pack (2 bars),56.0,200,38.0,3.0,6.0,2.0,120.0,8.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
5abb363c-4425-411e-9ce3-655400d6aa13,fruit_smoothie,Fruit Smoothie,1 cup (8 oz),245.0,120,27.0,2.0,0.5,1.5,20.0,215.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
e61ab84f-821a-47a1-a35a-735b75331940,graham_crackers,Graham Crackers,2 sheets,28.0,118,21.5,2.0,2.8,0.9,169.0,0.0,{gluten},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
bd4295a1-06fb-445b-803c-25ce1afd94fb,granola,Granola,1/2 cup,56.0,262,35.0,6.0,12.0,3.5,13.0,0.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
56c091b8-3615-4010-94ac-3d350b3b114c,greek_yogurt,Greek Yogurt (plain),1 cup,245.0,220,9.0,20.0,11.0,0.0,68.0,200.0,{dairy},slow,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
638dec70-0c68-4d68-a6c6-65274ea205be,honey,Honey,1 tbsp,21.0,64,17.3,0.1,0.0,0.0,1.0,4.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
36dbd640-e622-43b0-9c22-22090b89b59b,jam,Jam/Jelly,1 tbsp,20.0,56,13.8,0.1,0.0,0.2,6.0,6.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
8232c1ee-ce3c-4ca0-9246-a6aa16a264a5,maple_syrup,Maple Syrup,1 tbsp,20.0,52,13.4,0.0,0.0,0.0,2.0,5.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
4aa74478-2801-455f-a34a-274df786a69c,marinara_sauce,Marinara Sauce,1/2 cup,125.0,66,10.0,2.0,2.0,2.0,577.0,100.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
e48fe643-8e68-4612-bac5-33af2f7d2014,milk_whole,Milk (whole),1 cup (8 oz),244.0,149,12.0,8.0,8.0,0.0,105.0,220.0,{dairy},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
145b8efa-e7cf-4dee-b504-e610c1ed26e2,mixed_berries,Mixed Berries,1 cup,140.0,70,17.0,1.0,0.5,4.0,1.0,120.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
28d67763-ccfe-45fd-861e-6be3fe00c14b,oatmeal_cooked,Oatmeal (cooked),1 cup,234.0,166,28.0,6.0,3.5,4.0,9.0,200.0,{gluten},medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
6c4df090-0921-45d9-bca2-b05748499958,orange_juice,Orange Juice,1 cup (8 oz),248.0,112,26.0,1.7,0.5,0.5,2.0,219.0,{},fast,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
9f406454-2a40-4d17-923a-74ee801abb02,pancake_medium,Pancake (medium),"1 medium (6"")",77.0,175,22.0,5.0,7.0,0.5,226.0,40.0,"{gluten,eggs,dairy}",medium,t,2026-02-11 14:16:57.314287+00,2026-02-11 14:16:57.314287+00
